Well Name,Bit RPM (RPM),Bit Torque (kft_lb),Depth of Cut (in),Gamma (api),Mechanical Specific Energy (ksi),On Bottom ROP (ft_per_hr),Rotary RPM (RPM),Total Pump Output (gal_per_min),Weight on Bit (klbs)
Well 1,278,6,0.283,113.39869999999999,30.3,391.03,102.38,701.14,35.4
Well 1,277,6,0.284,113.61619999999998,30.4,391.78,102.19,700.49,35.4
Well 1,277,6,0.287,103.01720000000002,30.3,396.22,102.41,701.14,36.2
Well 1,277,6,0.287,107.07390000000001,29.7,396.57,102.3,701.8,36.3
Well 1,278,6,0.285,110.10440000000001,30.0,393.23,102.3,701.8,36.1
Well 1,277,6,0.28,111.79789999999998,31.2,385.51,102.05,701.14,36.4
Well 1,278,6,0.273,109.562,31.7,377.8,102.78,701.14,35.9
Well 1,278,6,0.279,111.87329999999999,31.3,385.77,102.5,701.14,36.0
Well 1,277,6,0.282,109.09920000000001,30.6,389.64,102.13,701.14,35.7
Well 1,278,6,0.283,105.3081,30.6,390.03,102.52,701.14,36.1
Well 1,278,6,0.283,109.3288,30.4,390.46,102.36,701.8,36.3
Well 1,277,6,0.283,109.2168,30.5,390.06,102.19,701.14,36.3
Well 1,277,6,0.279,111.79789999999998,31.2,385.51,102.19,701.14,36.0
Well 1,277,6,0.273,113.358,31.8,377.86,102.13,701.14,35.7
Well 1,277,6,0.271,123.2913,31.9,373.61,102.27,702.5,35.3
Well 1,278,6,0.275,125.6046,31.3,380.62,102.3,701.85,35.4
Well 1,278,6,0.281,124.00959999999999,31.1,387.53,102.22,701.73,35.6
Well 1,278,6,0.281,108.65120000000002,31.1,388.04,102.44,701.14,36.8
Well 1,278,6,0.279,111.7515,31.3,385.35,102.44,701.14,36.2
